Region,Theta (θ),Intercept,Intercept Z,Gizi Kurang Koef,Gizi Kurang Z,Persentase Bayi dengan IMD Koef,Persentase Bayi dengan IMD Z,Rokok Perkapita Koef,Rokok Perkapita Z,Kepadatan Penduduk Koef,Kepadatan Penduduk Z,Air Minum Layak Koef,Air Minum Layak Z,Sanitasi Layak Koef,Sanitasi Layak Z
Purwakarta,1.85889861444085,6.02686159975563,30093.5448293522,0.000188523190740684,1.97838769281099,-0.00428337143758509,-0.376018021728563,0.0803928081662646,1.91508454945765,0.0000982519832294056,2.72450886375364,0.00221879191358945,0.129422374563287,-0.00129947454632745,-0.102420597292581
Subang,1.8589070862927,6.02686310021922,30732.5872724447,0.000189365559874703,1.99189521541922,-0.00428866404497909,-0.382280664557585,0.0810987945342599,1.94629331752395,0.0000981918971977635,2.73458224893817,0.00208460954973255,0.12369753121122,-0.00129866584041146,-0.103682391234732
Sukabumi,1.85889097317639,6.02686051323042,29142.0036609364,0.000187313957944989,1.94573856261384,-0.00423116815827882,-0.36310624187544,0.0797041257287308,1.86722690876896,0.0000981477823282063,2.68510340831618,0.00237559094416015,0.134951569854356,-0.00135928554125243,-0.10479887171793
Sumedang,1.8589138579645,6.02686465633456,31073.8362033323,0.000189641691170266,1.99589884480945,-0.00425881635555,-0.383436830822851,0.0816283523144054,1.96484682005108,0.00009801606864849,2.73274992178872,0.00201083531316689,0.120487051929521,-0.00134736880056057,-0.10830935108865
Tasikmalaya,1.85893645519253,6.02686861132536,31838.1231793356,0.000191275921717533,1.98691737888823,-0.00421464930471149,-0.387047495528935,0.0832520037929265,1.99604989050466,0.0000974104275686246,2.68303459289063,0.00177604248616712,0.108569478609621,-0.0014612283179019,-0.118650052347034
Cilacap,1.85898592892979,6.02687268152354,32633.1463858545,0.00019822001885168,1.92682343167695,-0.00422571208379392,-0.396272365766416,0.0862385362022734,1.97890291963232,0.0000950879270816903,2.42573355612444,0.00136704673585643,0.0852819953890801,-0.00169413773943077,-0.13697586558819
Banyumas,1.85898727223888,6.02687126907068,33046.0879619441,0.000199672746017203,1.94157717593374,-0.00426829267957024,-0.403494374747854,0.0863038362555169,1.98858876057541,0.0000950728609197149,2.42113950761685,0.00129868319950414,0.0818691343900609,-0.00163091057330879,-0.132914804073863
Purbalingga,1.85899496761477,6.02686956418212,33247.2817340212,0.000203334406340193,1.92827538625625,-0.00430396760945024,-0.408483926497616,0.0866909307360191,1.96362220201862,0.0000941338909192229,2.31618758334337,0.0012050406466513,0.0763050584170628,-0.00165537488359276,-0.134442591483278
Banjarnegara,1.85899684021793,6.02686445663046,33238.4408633678,0.000211780378070982,1.89331000272285,-0.00433499212948187,-0.411915518840939,0.0867046211614713,1.87663061684222,0.0000912879603568684,2.05832379909039,0.00116057750060764,0.0733502215330121,-0.00179608657162029,-0.143368687171474
Kebumen,1.85899890028234,6.02686543452518,32822.9005197799,0.000212770198875945,1.87014461328721,-0.00429526195522904,-0.406718323595607,0.0868045892536625,1.84646981986537,0.0000900153489827821,1.98349966574876,0.00124908695943357,0.0782711862875772,-0.00196257726593639,-0.154949461207693
Purworejo,1.85893956135575,6.02684881111341,32617.1345294095,0.00023104024791039,1.84795616780341,-0.00427099333316808,-0.403354383843204,0.083170737587131,1.63514524147768,0.0000820343265130608,1.52538412658211,0.00162174617776501,0.100159207251155,-0.00225808675589519,-0.171924132309542
Wonosobo,1.85897773241441,6.02685688807264,33213.8787873954,0.000220410752275474,1.87563877101912,-0.00434949519071434,-0.412569079584837,0.0855711049950793,1.78107562634371,0.0000882553882481703,1.83209235646423,0.00122826318407976,0.0772293489410362,-0.00189363933205678,-0.148589058711514
Magelang,1.85889953594051,6.02683455616813,34439.8779901245,0.00023951964454249,1.91547401981245,-0.00436144168077909,-0.418436214316985,0.0802370119560201,1.58604516099072,0.0000824508250235378,1.48817293507469,0.00153772042170371,0.0966147314947448,-0.00184622699078068,-0.142085276237984
Boyolali,1.85884955810538,6.02681114880818,40101.2613420263,0.000251485262381957,2.0670351361576,-0.00443965401712572,-0.44200693807826,0.0748617476755937,1.52127024129656,0.0000852330356287503,1.50309962252654,0.00136825100821385,0.0891182223534887,-0.00104043969662742,-0.0825606070730414
Klaten,1.85884805972285,6.02681066617774,40290.4589580508,0.000251806625319647,2.07078222137577,-0.00441419220942555,-0.440888146366408,0.0746260216648497,1.51246192962608,0.0000848237686783753,1.49135833413096,0.00140534716468086,0.0915173373505248,-0.00106284897582745,-0.0843050128161964
Sukoharjo,1.85883693165797,6.02680246628869,43282.3501635631,0.00025585577963303,2.1297454271686,-0.00440565111594975,-0.444639898390495,0.0723572381315978,1.4856680368124,0.0000861881063629663,1.49609911076097,0.00133274794854181,0.0879302530851795,-0.00073134448135977,-0.0587149215652752
Wonogiri,1.85883383230754,6.02679954070808,44517.4382686039,0.000257283759728719,2.14894864424701,-0.00437328786246384,-0.44296406783774,0.0713726963862141,1.46736181122791,0.0000864018927929848,1.48625626885466,0.00133193390074447,0.088105191623198,-0.000628279588729616,-0.0505563074332828
Karanganyar,1.85883347947332,6.02679876173336,44832.4459079948,0.000257731587388851,2.15681208022739,-0.00440155118075334,-0.445531436405728,0.0712322820173631,1.47282990697197,0.0000870460597948446,1.50002263691704,0.00129083222374431,0.0856533458346884,-0.000559387107883049,-0.0451538861714507
Sragen,1.85883236470247,6.02679699604854,45501.3183644182,0.000258679270077353,2.16612396484601,-0.00441619473490868,-0.446146618947467,0.0707196123869412,1.46752068833825,0.0000877611817723406,1.50580878695825,0.00125309431004621,0.0832704189968427,-0.000455245909846922,-0.0367985835634959
Grobogan,1.85883405994453,6.02679845905179,44087.4696160571,0.000257946829628968,2.12592210930216,-0.00449357349790818,-0.444994340533901,0.0714436224353264,1.4698622717748,0.00008848128723891,1.51176876916273,0.00119261236072985,0.0781830595410595,-0.000444622843803439,-0.0354688878242407
Blora,1.85883130038854,6.02678951792322,48375.5949398131,0.000262896285418374,2.18689260317436,-0.00441030719198017,-0.438238286763551,0.0679603769677302,1.4128938529247,0.000090425695263579,1.49355743309098,0.00115904889219028,0.0766125354097787,-0.0000354793266960685,-0.00285193909601908
Rembang,1.85883089363576,6.02679026483332,47135.3908794847,0.000262593317700135,2.14894588745344,-0.00447283616379235,-0.436534946777333,0.0684620193076715,1.40698345290968,0.0000908394811668177,1.48909230106766,0.00112568560703453,0.0733423572125985,-0.0000352602252541013,-0.00279427203524414
Pati,1.85883277054234,6.02679642662763,44165.4653125815,0.000259056276548579,2.10574689589854,-0.00453094281573635,-0.440758443628106,0.0708959430648382,1.44610818566123,0.0000895275788626701,1.50207542741683,0.00113887796693786,0.0737413345274078,-0.000308488708497959,-0.0243070346417937
Kudus,1.85883902124383,6.02680249268994,41772.6618305591,0.000255669409829431,2.06662575603684,-0.00454745653014294,-0.440515097589172,0.0728596754243639,1.47597259490655,0.0000884068784888144,1.50777239910825,0.00116568034290325,0.0750031342608906,-0.000553238389324672,-0.0433467451325479
Jepara,1.85885190011137,6.02681004365266,38245.0969345709,0.000251190263278396,1.96629078312087,-0.00459362859504968,-0.428337204920761,0.0751783987093192,1.48097773879813,0.000088070401938851,1.49225721164244,0.0011314724296764,0.0704331312043304,-0.000749936774104512,-0.0569378897020789
Demak,1.85885159689379,6.02681074509112,39172.1087587056,0.000251202617562845,2.01890865251495,-0.0045360419027535,-0.436972944340009,0.0751509712014492,1.51043067240975,0.0000870194546872113,1.51053361248391,0.00121683054872578,0.0776841474129033,-0.00086844681689382,-0.0675919959405024
Semarang,1.85887302194936,6.02682240609987,36735.8518339853,0.000245422952189869,1.97803013399653,-0.00445456290952907,-0.43131277620552,0.0777933515569416,1.55734599394146,0.0000846085118292761,1.5078238992873,0.00136995752710764,0.0872836400273289,-0.00135982682793247,-0.105819257441632
Temanggung,1.85891357744403,6.02683918081057,33577.0539126501,0.000236666988705052,1.88156925323045,-0.00434542722792713,-0.411340757802033,0.0813304805216217,1.60164425003182,0.0000824508425440454,1.49300252842342,0.00151387525775814,0.0942955956451099,-0.00194452150406597,-0.148632869147498
Kendal,1.85892612706372,6.02684035175694,33455.1809040193,0.000233351649000461,1.86220462857439,-0.00442071742894024,-0.410729066069923,0.0822445736754475,1.63101617548438,0.0000856003240864262,1.58208490323189,0.00125865137584183,0.0778007405335215,-0.00168296664967571,-0.128125323895134
Batang,1.85899017160632,6.0268623990423,33424.0596559872,0.000210147348922343,1.90516514665617,-0.00441077563227335,-0.414689887012053,0.0863580796949771,1.89613661135058,0.0000933403989990258,2.15604207392556,0.00103800343250877,0.0654705904823273,-0.00150700713932231,-0.120623861803779
