No,NAMOBJ,Penemuan,JumlahBalita,NTL,AOD,PM10,CO,SO2,NO2,NDVI,NDWI,CurahHujanSum,Kemiskinan,Kepadatan,Sanitasi,AirMinum,GiziKurang,IMD,PuskesJml,RasioPuskesmas,RokokPerkapita,VitA,VitA_P,Latitude,Longitude,LatitudeOSM,LongitudeOSM,Imunisasi_P,BBLR_P,RLSPr,AirMinumLayak,Variabel Signifikan
47,Purworejo,195,78275,0.948907690505804,0.13925,18.54736,0.0303082402158223,0.000114,0.000048,0.650792101114248,-0.537192683153197,2063.52693234311,11.33,729,81.43,86.81,1667,87.69,27,34.493771957841,10.375,13963,99.9,-7.7097,110.008,-7.7097,110.008,107.2,6.9,8.01,91.26,Tidak Ada Variabel yang Signifikan
48,Wonosobo,1700,90595,1.03081564304549,0.0809023624953857,12.250482960502,0.0274572360356324,0.000103,0.000049,0.704237328134037,-0.56144257764816,2482.96433275877,15.58,899,58.14,100,1506,95.04,24,26.4915282300348,8.7,43600,97.2,-7.3621,109.8994,-7.3621,109.8994,95.1,7,6.71,94.61,Tidak Ada Variabel yang Signifikan
49,Magelang,617,131933,1.501989346456,0.131135416666666,17.6716341666666,0.02923858908117,0.000117,0.000055,0.628323433117918,-0.511085714017982,2250.62250633508,10.96,1178,85.14,99.55,3685,92.11,29,21.9808539182767,10.811,64004,99.8,-7.4813,110.2138,-7.4813,110.2138,90.8,6.1,7.38,97.5,Tidak Ada Variabel yang Signifikan
50,Boyolali,823,108946,2.15312061764152,0.177329695647245,22.6569207542507,0.0303945474899111,0.000109,0.000059,0.518396737462658,-0.484358564370027,2172.87609992263,9.81,994,89.31,98.98,2666,94.36,25,22.9471481284306,13.634,48822,99.7,-7.5238,110.5959,-7.5238,110.5959,100.5,4.5,7.52,94.36,X1
51,Klaten,2656,128415,3.64795508278427,0.17027737625337,21.8958344452637,0.0305402209174836,0.000089,0.000058,0.526607974329809,-0.478834779312086,1775.6359655436,12.28,1839,97.16,87.06,4049,90.39,34,26.4766577113266,11.562,57441,98.7,-7.7117,110.5955,-7.7117,110.5969,86,7.2,8.68,99.52,X1
52,Sukoharjo,1306,92144,4.38334768985534,0.176537566293459,22.5714341543901,0.0310878148137717,0.00011,0.000059,0.466345742464368,-0.440868730680234,1910.81001797039,7.58,1890,95.68,92.13,2222,95.98,12,13.0230942872026,11.571,41104,99.9,-7.6809,110.8195,-7.6809,110.8195,82.6,4.6,9.47,99.71,X1
53,Wonogiri,331,106466,1.06558594412787,0.135247132160377,18.1153705027479,0.0283123276183814,0.000108,0.000048,0.556562943174937,-0.511310077583836,2000.07923095363,10.94,552,96.12,92.93,2423,83.48,34,31.935077865234,13.098,38767,97.8,-7.8178,110.9206,-7.8178,110.9206,82.3,7.6,7.32,96.57,X1
54,Karanganyar,2871,95631,2.58325402720519,0.159541344371928,20.7372018846185,0.0293011661694372,0.000102,0.000057,0.571296898589714,-0.491345607301143,2442.83199150022,9.79,1189,97.03,92.26,1789,66.76,21,21.9594064686137,12.107,47440,100,-7.5961,110.9508,-7.5961,110.9508,94.4,4.8,8.6,98.48,X1
55,Sragen,282,100066,2.20337581390541,0.183272214353163,23.2982373729934,0.032046708369711,0.000117,0.00006,0.497560261316395,-0.454962181049674,2060.0088281571,12.87,1003,95.3,99.4,2786,86.62,25,24.9835108828173,13.614,30223,64.8,-7.4302,111.0213,-7.4302,111.0213,88.6,5.8,7.38,98.14,X1
56,Grobogan,1411,147910,1.30768610950282,0.185788199198891,23.5697624575443,0.0319325731741988,0.000108,0.000059,0.452839258050247,-0.446009622712414,1931.17093829959,11.72,738,90.49,97.47,3843,96.2,30,20.2826042863904,15.517,28866,83.9,-7.0217,110.9626,-7.0217,110.9626,100.8,5.5,6.77,82.18,X1
